url,malicious,url_res,hostname_res,path_res,first_dir_res,top_level_res,dash_res,at_res,q_res,percent_res,dot_res,equal_res,colon_res,www_res,numbers_res,letters_res,dir_res,single_letter_res,query_res,ratio_upper_lower_res,ip_res,shortened_res,http_res
http://www.pubmedcentral.nih.gov,1,32,21,0,0,3,0,0,0,0,3,0,0,1,0,26,0,0,0,0.0,0,0,0
http://www.moneyadviceservice.org.uk,1,36,25,0,0,2,0,0,0,0,3,0,0,1,0,30,0,0,0,0.0,0,0,0
http://www.ozy.com,1,18,7,0,0,3,0,0,0,0,2,0,0,1,0,13,0,0,0,0.0,0,0,0
http://www.sfusd.edu,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.cgsociety.org,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,0,0
http://www.fes.de,1,17,6,0,0,2,0,0,0,0,2,0,0,1,0,12,0,0,0,0.0,0,0,0
http://www.moj.gov.cn,1,21,10,0,0,2,0,0,0,0,3,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.nycgo.com,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.westlaw.com,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.unifi.it,1,19,8,0,0,2,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.pl-pl.facebook.com,1,29,18,0,0,3,1,0,0,0,3,0,0,1,0,22,0,0,0,0.0,0,0,0
http://www.geology.com,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.baltimore.cbslocal.com,1,33,22,0,0,3,0,0,0,0,3,0,0,1,0,27,0,0,0,0.0,0,0,0
http://www.corsair.com,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.metrolyrics.com,1,26,15,0,0,3,0,0,0,0,2,0,0,1,0,21,0,0,0,0.0,0,0,0
http://www.roanoke.com,1,22,11,0,0,3,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.whatismyipaddress.com,1,32,21,0,0,3,0,0,0,0,2,0,0,1,0,27,0,0,0,0.0,0,0,0
http://www.psfk.com,1,19,8,0,0,3,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.starfall.com,1,23,12,0,0,3,0,0,0,0,2,0,0,1,0,18,0,0,0,0.0,0,0,0
http://www.millionairesdating.org,1,33,22,0,0,3,0,0,0,0,2,0,0,1,0,28,0,0,0,0.0,0,0,0
http://www.autogm.it,1,20,9,0,0,2,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.cftc.gov,1,19,8,0,0,3,0,0,0,0,2,0,0,1,0,14,0,0,0,0.0,0,0,0
http://www.mobileworldcongress.com,1,34,23,0,0,3,0,0,0,0,2,0,0,1,0,29,0,0,0,0.0,0,0,0
http://www.illinoisstate.edu,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.uncommongoods.com,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.gmane.org,1,20,9,0,0,3,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.eastbaytimes.com,1,27,16,0,0,3,0,0,0,0,2,0,0,1,0,22,0,0,0,0.0,0,0,0
http://www.enterprise.com,1,25,14,0,0,3,0,0,0,0,2,0,0,1,0,20,0,0,0,0.0,0,0,0
http://www.taylorfrancis.com,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.abload.de,1,20,9,0,0,2,0,0,0,0,2,0,0,1,0,15,0,0,0,0.0,0,0,0
http://www.fujian.gov.cn,1,24,13,0,0,2,0,0,0,0,3,0,0,1,0,18,0,0,0,0.0,0,0,0
http://www.mbalib.com,1,21,10,0,0,3,0,0,0,0,2,0,0,1,0,16,0,0,0,0.0,0,0,0
http://www.geekbench.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,0,0
http://www.datingjet.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,1,0
http://www.socialbakers.com,1,27,16,0,0,3,0,0,0,0,2,0,0,1,0,22,0,0,0,0.0,0,0,0
http://www.ncku.edu.tw,1,22,11,0,0,2,0,0,0,0,3,0,0,1,0,16,0,0,0,0.0,0,0,0
http://www.apkmirror.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,0,0
http://www.blogspot.fi,1,22,11,0,0,2,0,0,0,0,2,0,0,1,0,17,0,0,0,0.0,0,0,0
http://www.nick.de,1,18,7,0,0,2,0,0,0,0,2,0,0,1,0,13,0,0,0,0.0,0,0,0
http://www.americanpregnancy.org,1,32,21,0,0,3,0,0,0,0,2,0,0,1,0,27,0,0,0,0.0,0,0,0
http://www.llviabest.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,1,0
http://www.zohosites.com,1,24,13,0,0,3,0,0,0,0,2,0,0,1,0,19,0,0,0,0.0,0,0,0
http://www.smartrecruiters.com,1,30,19,0,0,3,0,0,0,0,2,0,0,1,0,25,0,0,0,0.0,0,0,0
http://www.joomlart.com,1,23,12,0,0,3,0,0,0,0,2,0,0,1,0,18,0,0,0,0.0,0,1,0
http://www.mysterythemes.com,1,28,17,0,0,3,0,0,0,0,2,0,0,1,0,23,0,0,0,0.0,0,0,0
http://www.scouting.org,1,23,12,0,0,3,0,0,0,0,2,0,0,1,0,18,0,0,0,0.0,0,0,0
